Nombre;Codigo_Postal;Calle;Municipio;Distrito;Latitud;Longitud;Provincia;Pais;Tipo_Cocina;Sitio_Web;Direccion_Completa
La Sureña;29680;Plaza de las Flores;Fuengirola;Los Boliches;36.5506698;-4.6178631;Costa del Sol Occidental;España;No especificado;No disponible;La Sureña, Avenida Nuestro Padre Jesús Cautivo, Los Boliches, Fuengirola, Costa del Sol Occidental, Málaga, Andalucía, 29640, España
Café Central;29016;;Málaga;Centro Histórico;36.7211582;-4.4215087;Málaga-Costa del Sol;España;No especificado;No disponible;Café Central, 11, Plaza de la Constitución, Centro Histórico, Centro, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29016, España
La Rambla;29320;;Campillos;;37.0599866;-4.8693347;Guadalteba;España;No especificado;No disponible;La Rambla, Campillos, Guadalteba, Málaga, Andalucía, 29320, España
Cafe Paris;29789;Calle Chaparil;Nerja;;36.7472293;-3.8798283;La Axarquía;España;No especificado;No disponible;Cafe Paris, 1, Calle Chaparil, Nerja, La Axarquía, Málaga, Andalucía, 29789, España
Camping Presa del Viñuela;29713;Camping;Viñuela;;36.8737776;-4.1847747;La Axarquía;España;No especificado;No disponible;Camping Presa del Viñuela, Camping, Los Castillejos, Viñuela, La Axarquía, Málaga, Andalucía, 29713, España
Taberna Mansiega;29620;Calle de las Mercedes;Torremolinos;;36.6230942;-4.4972217;Costa del Sol Occidental;España;No especificado;No disponible;Taberna Mansiega, Calle de las Mercedes, Torremolinos, Costa del Sol Occidental, Málaga, Andalucía, 29620, España
Zoya;29670;Avenida Pablo Ruiz Picasso;San Pedro Alcántara;Salto del Agua;36.486953;-4.9905994;Costa del Sol Occidental;España;No especificado;No disponible;Zoya, Avenida Pablo Ruiz Picasso, Salto del Agua, San Pedro Alcántara, Marbella, Costa del Sol Occidental, Málaga, Andalucía, 29670, España
Chiringuito Central;29680;Paseo Pedro Manrique;Estepona;Barriada Islas Canarias;36.42275;-5.14722;Costa del Sol Occidental;España;No especificado;No disponible;Chiringuito Central, Paseo Pedro Manrique, Barriada Blas Infante, Barriada Islas Canarias, Estepona, Costa del Sol Occidental, Málaga, Andalucía, 29680, España
Cielito Lindo;29780;Calle El Barrio;Nerja;;36.7450415;-3.8786702;La Axarquía;España;No especificado;No disponible;Cielito Lindo, 24-26, Calle El Barrio, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
Paradores;29400;Plaza de España;Ronda;;36.7410298;-5.1664636;Serranía de Ronda;España;No especificado;No disponible;Parador de Turismo de Ronda, Plaza de España, Ronda, Serranía de Ronda, Málaga, Andalucía, 29400, España
