,,,,,,,,,,,,,,,,,,,,,
POBLACIÓN TOTAL,,,,,,,,,,,,,,,,,,,,,
(Número de habitantes),,,,,,,,,,,,,,,,,,,,,
"Fuente: Gestrisam, Padrón municipal,  Ayuntamiento de Málaga",,,,,,,,,,,,,,,,,,,,,
,, TOTAL,Hombres,Mujeres,,,,,,,,,,,,,,,,,
,2001,"0,3732","0,6560","0,9342","0,7300","0,5993","1,2027","1,2359","0,8651","0,8298","0,8406","0,8314","0,4781","1,3736","0,7867","0,7894","0,9404","0,8444","0,8135","0,8043","1,1132"
,2002,"0,3847","0,6634","0,9316","0,7138","0,6218","1,3308","1,2519","0,8951","0,8563","0,8540","0,8939","0,4923","1,3125","0,7771","0,8088","0,9530","0,9208","0,8359","0,8254","1,1259"
,2003,"0,3966","0,6542","1,0000","0,7669","0,6068","1,2080","1,2302","0,9652","0,8511","0,8504","0,8322","0,4906","1,2424","0,8179","0,8063","0,9807","0,8645","0,8313","0,8283","1,1199"
,2004,"0,3980","0,6492","1,0183","0,6420","0,6257","1,1797","1,1917","0,9910","0,8589","0,7797","0,8482","0,4787","1,0991","0,7971","0,7987","0,9771","0,8102","0,8246","0,8309","1,1111"
,2005,"0,3944","0,6429","1,0237","0,6791","0,5900","1,2081","1,2042","1,0280","0,8454","0,7638","0,7905","0,4897","1,1942","0,8195","0,7903","0,9630","0,8021","0,8209","0,8289","1,0913"
,2006,"0,4016","0,6338","1,0739","0,6569","0,5833","1,1157","1,2171","1,0941","0,8542","0,7649","0,7882","0,5117","1,2115","0,8659","0,7959","0,9571","0,7953","0,8357","0,8414","1,0966"
,2007,"0,4067","0,6238","1,0710","0,6923","0,5651","1,1189","1,1530","1,1361","0,8438","0,7487","0,7711","0,5150","1,0636","0,8624","0,7880","0,9707","0,7770","0,8334","0,8401","1,0872"
,2008,"0,4127","0,6373","1,1075","0,6884","0,5377","1,0935","1,0647","1,1397","0,8552","0,7412","0,7267","0,5244","0,9739","0,8768","0,7939","0,9969","0,7829","0,8400","0,8399","1,0730"
,2009,"0,4202","0,6340","1,1288","0,7253","0,5382","1,0698","1,1502","1,1879","0,8567","0,7531","0,7230","0,5359","1,1028","0,8942","0,7981","1,0330","0,7671","0,8515","0,8483","1,0711"
,2010,"0,4445","0,6421","1,1688","0,7699","0,5276","1,1530","1,1273","1,2642","0,8754","0,7824","0,7168","0,5387","1,0177","0,9199","0,8381","1,0661","0,7789","0,8746","0,8598","1,0759"
,2011,"0,4594","0,6757","1,2308","0,8102","0,5337","1,2375","1,1351","1,3016","0,8923","0,8032","0,7508","0,5476","1,0259","0,9509","0,8587","1,1028","0,8143","0,8986","0,8759","1,0868"
,2012,"0,4777","0,6959","1,2797","0,8382","0,5213","1,2299","1,1859","1,3547","0,9044","0,8252","0,7413","0,5514","1,0270","0,9779","0,8748","1,1574","0,8590","0,9203","0,8892","1,0972"
,2013,"0,4950","0,7274","1,3503","0,8946","0,5288","1,2397","1,1612","1,4039","0,9218","0,8835","0,7348","0,5524","1,1321","1,0276","0,9010","1,1496","0,7753","0,9396","0,8996","1,1098"
,2014,"0,5140","0,7277","1,2454","0,9143","0,5136","1,2852","1,1779","1,4301","0,9485","0,7169","0,7344","0,5630","1,0841","1,0016","0,9017","1,1832","0,7690","0,9328","0,9154","1,1296"
,2015,"0,5328","0,7548","1,2813","0,9493","0,4988","1,3137","1,2114","1,4632","0,9646","0,7511","0,7522","0,5794","1,0952","1,0215","0,9214","1,1962","0,7904","0,9520","0,9340","1,1493"
,2016,"0,5367","0,7670","1,3459","0,9352","0,5014","1,2912","1,2776","1,5080","0,9855","0,6937","0,7622","0,5859","1,0093","1,0365","0,9311","1,2227","0,7763","0,9617","0,9448","1,1632"
,2017,"0,5552","0,7990","1,4363","0,9606","0,5011","1,2987","1,2762","1,5246","1,0124","0,6618","0,7840","0,6005","0,9815","1,0335","0,9458","1,2645","0,7982","0,9774","0,9641","1,1818"
,2018,"0,5833","0,8045","1,4706","0,8825","0,5056","1,2849","1,2941","1,4630","1,0409","0,7235","0,7899","0,6170","0,9554","1,0728","0,9627","1,3009","0,8209","0,9981","0,9883","1,2050"
,2019,"0,6057","0,8209","1,5429","0,8813","0,5213","1,2615","1,3392","1,5911","1,0701","0,7462","0,8035","0,6454","0,9000","1,0951","0,9940","1,3165","0,8202","1,0271","1,0174","1,2299"
,2020,"0,6315","0,8457","1,5205","0,9080","0,5392","1,2242","1,3146","1,6673","1,1086","0,7745","0,8182","0,6838","0,8443","1,1038","1,0277","1,3653","0,8258","1,0602","1,0489","1,2592"
,2021,"0,6635","0,8837","1,5096","0,9525","0,5542","1,2218","1,3556","1,7462","1,1590","0,7847","0,8548","0,7225","0,9204","1,1644","1,0465","1,3903","0,8395","1,1043","1,0861","1,2962"
,2022,"0,7001","0,9118","1,5078","0,9867","0,5724","1,2910","1,4418","1,8293","1,2022","0,8114","0,8844","0,7553","0,9417","1,2078","1,1109","1,4081","0,8387","1,1497","1,1277","1,3406"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE DEPENDENCIA                  ,,,,,,,,,,,,,,,,,,,,,
((Población<16 años+ Población >64 años)/ Población 16-64 años),,,,,,,,,,,,,,,,,,,,,
"Fuente: Padrón municipal, INE",,,,,,,,,,,,,,,,,,,,,
