,,,,,,,,,,,,,,,,,,,,,
INDICADOR COMPUESTO DE ACTIVIDAD PARA LA CIUDAD DE MÁLAGA,,,,,,,,,,,,,,,,,,,,,
(Base 100= 1er trimestre 2005),,,,,,,,,,,,,,,,,,,,,
Fuente: Analistas Económicos de Andalucía,,,,,,,,,,,,,,,,,,,,,
,,Dato,Tasa de variación interanual en %,,,,,,,,,,,,,,,,,,
,2009,3.472,2.348,506,6.478,2.603,300,311,6.845,67.015,7.314,1.058,3.605,89,7.190,99.230,1.829,2.426,170.602,851.493,3.923.603
,2010,4.069,2.638,543,7.058,2.810,339,359,7.941,70.966,8.185,1.196,3.945,101,7.800,106.445,1.932,2.689,183.713,903.999,4.100.073
,2011,4.270,2.872,558,7.566,3.144,371,374,8.330,75.064,8.808,1.409,4.409,123,8.002,125.300,2.163,3.071,194.999,969.152,4.422.359
,2012,4.878,3.068,580,7.783,3.513,448,404,8.438,83.000,9.014,1.534,4.803,107,8.623,136.193,2.274,3.318,210.872,1.083.829,4.848.723
,2013,4.640,3.132,582,7.735,3.362,396,425,8.051,80.471,8.769,1.512,4.765,125,8.055,123.965,2.160,3.184,202.712,1.033.647,4.701.338
,2014,4.412,2.886,562,7.285,3.251,335,352,7.812,77.459,8.339,1.296,4.546,108,7.638,118.643,2.034,2.895,193.326,1.009.683,4.447.711
,2015,4.033,2.888,552,7.049,2.936,300,347,7.220,71.550,8.135,1.246,4.433,112,7.170,117.971,1.846,2.756,181.701,962.974,4.093.508
,2016,3.735,2.676,444,6.456,2.714,282,314,6.705,66.276,7.448,1.114,4.114,103,6.710,109.091,1.636,2.557,168.148,883.077,3.702.974
,2017,3.497,2.465,407,6.265,2.448,258,299,6.505,61.709,7.275,989,3.927,102,6.809,102.955,1.452,2.236,157.573,825.364,3.412.781
,2018,3.469,2.448,337,5.948,2.422,238,256,6.303,59.858,6.874,962,3.628,87,6.655,99.485,1.402,2.134,151.249,788.767,3.202.297
,2019,3.369,2.406,325,6.000,2.321,226,248,6.352,57.532,6.934,930,3.638,87,6.539,96.907,1.341,2.101,148.485,777.934,3.163.605
,2020,4.558,3.214,405,8.433,2.954,312,330,9.155,73.604,9.948,1.193,4.703,97,9.047,127.953,1.715,2.787,196.286,969.437,3.888.137
,2021,3.519,2.626,344,6.086,2.523,238,272,6.693,58.106,7.787,1.005,3.741,78,6.736,99.754,1.449,2.163,151.554,785.641,3.105.905
,2022,3.201,2.489,339,5.287,2.284,219,259,5.654,53.555,6.682,947,3.406,80,5.711,90.113,1.315,2.148,136.439,727.097,2.837.653
,2023,3.114,2.413,305,5.043,2.191,226,254,5.457,51.259,6.276,934,3.268,81,5.453,86.274,1.309,2.100,131.078,694.940,2.707.456
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PARO REGISTRADO POR SECTORES ECONÓMICOS             ,,,,,,,,,,,,,,,,,,,,,
(Número de parados a diciembre)          ,,,,,,,,,,,,,,,,,,,,,
"Fuente: Observatorio de las Ocupaciones de Málaga, Servicio Público de Empleo Estatal",,,,,,,,,,,,,,,,,,,,,
,,Agricultura,Industria,Construcción ,Servicios,Sin empleo anterior,Total,,,,,,,,,,,,,,
,1999,294,3.710,3.064,18.208,7.436,32.712,,,,,,,,,,,,,,
,2000,243,3.359,2.903,17.623,6.509,30.637,,,,,,,,,,,,,,
,2001,239,3.339,3.145,17.741,5.637,30.101,,,,,,,,,,,,,,
,2002,234,3.316,3.184,17.773,5.773,30.280,,,,,,,,,,,,,,
,2003,247,2.907,3.405,17.433,5.495,29.487,,,,,,,,,,,,,,
,2004,220,2.680,3.134,16.068,4.789,26.891,,,,,,,,,,,,,,
,2005,402,3.528,4.939,22.426,5.935,37.230,,,,,,,,,,,,,,
,2006,401,3.546,4.396,22.678,6.458,37.479,,,,,,,,,,,,,,
,2007,473,3.592,5.749,24.110,6.575,40.499,,,,,,,,,,,,,,
,2008,615,4.638,10.283,31.798,7.364,54.698,,,,,,,,,,,,,,
,2009,500,5.057,14.275,39.320,7.863,67.015,,,,,,,,,,,,,,
,2010,582,5.135,14.192,40.344,10.713,70.966,,,,,,,,,,,,,,
,2011,750,5.323,14.523,42.860,11.608,75.064,,,,,,,,,,,,,,
,2012,800,5.584,13.674,51.876,11.066,83.000,,,,,,,,,,,,,,
,2013,821,5.226,12.051,51.210,11.163,80.471,,,,,,,,,,,,,,
,2014,910,4.748,10.324,50.298,11.179,77.459,,,,,,,,,,,,,,
,2015,809,4.185,8.650,47.717,10.189,71.550,,,,,,,,,,,,,,
,2016,713,3.729,7.304,45.329,9.201,66.276,,,,,,,,,,,,,,
,2017,687,3.366,6.428,42.926,8.302,61.709,,,,,,,,,,,,,,
,2018,647,3.268,5.804,42.469,7.670,59.858,,,,,,,,,,,,,,
,2019,667,2.891,5.609,40.964,7.401,57.532,,,,,,,,,,,,,,
,2020,900,3.597,6.979,52.593,9.535,73.604,,,,,,,,,,,,,,
,2021,712,2.945,5.628,41.231,7.590,58.106,,,,,,,,,,,,,,
,2022,605,2.538,4.949,38.232,7.231,53.555,,,,,,,,,,,,,,
,2023,565,2.351,4.663,36.866,6.814,51.259,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PARO REGISTRADO  POR SEXO           ,,,,,,,,,,,,,,,,,,,,,
(Número de parados a diciembre)          ,,,,,,,,,,,,,,,,,,,,,
"Fuente: Observatorio de las Ocupaciones de Málaga, Servicio Público de Empleo Estatal",,,,,,,,,,,,,,,,,,,,,
,,Hombre,Mujer,Total,,,,,,,,,,,,,,,,,
,1999,13.488,19.224,32.712,,,,,,,,,,,,,,,,,
,2000,12.233,18.404,30.637,,,,,,,,,,,,,,,,,
,2001,11.897,18.204,30.101,,,,,,,,,,,,,,,,,
,2002,11.749,18.531,30.280,,,,,,,,,,,,,,,,,
,2003,11.362,18.125,29.487,,,,,,,,,,,,,,,,,
